task_id,filename,em,bleu,wbleu,syntax,dataflow,codebleu
788,788.py,0.0,0.1825741858350554,0.28574404296988,0.5555555555555556,1.0,0.7777777777777778
79,79.py,0.0,0.8282477531331041,0.836572897136744,1.0,1.0,1.0
791,791.py,0.0,0.02103944595668803,0.029552847115457196,0.08333333333333333,0.35714285714285715,0.22023809523809523
792,792.py,1.0,1.0,1.0,1.0,1.0,1.0
793,793.py,0.0,0.9126728079323112,0.9172199171732212,0.8297872340425532,0.2222222222222222,0.5260047281323876
796,796.py,1.0,1.0,1.0,1.0,1.0,1.0
798,798.py,1.0,1.0,1.0,1.0,1.0,1.0
801,801.py,0.0,0.5766735394403276,0.5960994273268099,0.6666666666666666,1.0,0.8333333333333333
803,803.py,0.0,0.9420254600938036,0.9458011889076515,1.0,1.0,1.0
804,804.py,0.0,0.29615165360116247,0.31138788080750657,0.3888888888888889,0.5714285714285714,0.4801587301587301
805,805.py,1.0,1.0,1.0,1.0,1.0,1.0
806,806.py,1.0,1.0,1.0,1.0,1.0,1.0
807,807.py,1.0,1.0,1.0,1.0,1.0,1.0
808,808.py,0.0,0.9457416090031758,0.9533081448266209,0.7333333333333333,1.0,0.8666666666666667
809,809.py,0.0,0.6147881529512643,0.7765453555044466,0.6666666666666666,0.5555555555555556,0.6111111111111112
82,82.py,0.0,0.04282963710525157,0.04576318980860576,0.125,0.2727272727272727,0.19886363636363635
90,90.py,0.0,0.37700638045494705,0.403527863746399,1.0,1.0,1.0
98,98.py,0.0,0.4001601601922499,0.41397900200299415,1.0,1.0,1.0
